id,web_name,first name,last name,team_code,team_name,full_name
549,Praet,Dennis,Praet,10,Leicester City,Dennis Praet
581,Smithies,Alex,Smithies,10,Leicester City,Alex Smithies
612,Faes,Wout,Faes,10,Leicester City,Wout Faes
639,Braybrooke,Sammy,Braybrooke,10,Leicester City,Sammy Braybrooke
645,Wormleighton,Joe,Wormleighton,10,Leicester City,Joe Wormleighton
221,Cooper,Liam,Cooper,11,Leeds United,Liam Cooper
222,Ayling,Luke,Ayling,11,Leeds United,Luke Ayling
223,Klich,Mateusz,Klich,11,Leeds United,Mateusz Klich
224,Forshaw,Adam,Forshaw,11,Leeds United,Adam Forshaw
225,Rodrigo,Rodrigo,Moreno,11,Leeds United,Rodrigo Moreno
226,Dallas,Stuart,Dallas,11,Leeds United,Stuart Dallas
227,Bamford,Patrick,Bamford,11,Leeds United,Patrick Bamford
228,Llorente,Diego,Llorente,11,Leeds United,Diego Llorente
229,Roberts,Tyler,Roberts,11,Leeds United,Tyler Roberts
230,Koch,Robin,Koch,11,Leeds United,Robin Koch
232,Raphinha,Raphael,Dias Belloli,11,Leeds United,Raphael Dias Belloli
233,Harrison,Jack,Harrison,11,Leeds United,Jack Harrison
234,Shackleton,Jamie,Shackleton,11,Leeds United,Jamie Shackleton
235,Struijk,Pascal,Struijk,11,Leeds United,Pascal Struijk
236,Klaesson,Kristoffer,Klaesson,11,Leeds United,Kristoffer Klaesson
237,Greenwood,Sam,Greenwood,11,Leeds United,Sam Greenwood
238,Meslier,Illan,Meslier,11,Leeds United,Illan Meslier
239,Firpo,Junior,Firpo Adames,11,Leeds United,Junior Firpo Adames
240,Summerville,Crysencio,Summerville,11,Leeds United,Crysencio Summerville
241,Bate,Lewis,Bate,11,Leeds United,Lewis Bate
242,Gelhardt,Joe,Gelhardt,11,Leeds United,Joe Gelhardt
243,Hjelde,Leo Fuhr,Hjelde,11,Leeds United,Leo Fuhr Hjelde
244,Kristensen,Rasmus,Kristensen,11,Leeds United,Rasmus Kristensen
245,Roca,Marc,Roca Junqué,11,Leeds United,Marc Roca Junqué
246,Aaronson,Brenden,Aaronson,11,Leeds United,Brenden Aaronson
247,Gyabi,Darko,Gyabi,11,Leeds United,Darko Gyabi
506,Adams,Tyler,Adams,11,Leeds United,Tyler Adams
508,Sinisterra,Luis,Sinisterra Lucumí,11,Leeds United,Luis Sinisterra Lucumí
547,Drameh,Cody,Drameh,11,Leeds United,Cody Drameh
565,Gray,Archie,Gray,11,Leeds United,Archie Gray
578,Robles,Joel,Robles,11,Leeds United,Joel Robles
619,Gnonto,Wilfried,Gnonto,11,Leeds United,Wilfried Gnonto
659,Mateo Joseph,Mateo Joseph,Fernández,11,Leeds United,Mateo Joseph Fernández
663,Perkins,Sonny,Perkins,11,Leeds United,Sonny Perkins
274,Milner,James,Milner,12,Liverpool,James Milner
275,Henderson,Jordan,Henderson,12,Liverpool,Jordan Henderson
276,Matip,Joel,Matip,12,Liverpool,Joel Matip
277,Thiago,Thiago,Alcántara do Nascimento,12,Liverpool,Thiago Alcántara do Nascimento
278,Chamberlain,Alex,Oxlade-Chamberlain,12,Liverpool,Alex Oxlade-Chamberlain
279,Firmino,Roberto,Firmino,12,Liverpool,Roberto Firmino
280,Van Dijk,Virgil,van Dijk,12,Liverpool,Virgil van Dijk
281,Alisson,Alisson,Ramses Becker,12,Liverpool,Alisson Ramses Becker
282,Fabinho,Fabio Henrique,Tavares,12,Liverpool,Fabio Henrique Tavares
